iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SAU,Asia,Saudi Arabia,2020-04-01,1720.0,157.0,117.143,16.0,6.0,2.0,48.669,4.442,3.315,0.453,0.17,0.057,1.71,,,,,,,,,7381.0,123706.0,3.5,0.209,6518.0,0.184,0.018000000000000002,55.6,tests performed,,,,,,,,,,,,89.81,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-02,1885.0,165.0,124.714,21.0,5.0,2.571,53.338,4.669,3.529,0.594,0.141,0.073,1.69,,,,,,,,,7688.0,131394.0,3.718,0.218,6806.0,0.193,0.018000000000000002,54.6,tests performed,,,,,,,,,,,,89.81,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-03,2039.0,154.0,133.571,25.0,4.0,3.143,57.69600000000001,4.3580000000000005,3.78,0.7070000000000001,0.113,0.08900000000000001,1.68,,,,,,,,,8012.0,139406.0,3.945,0.227,7078.0,0.2,0.019,53.0,tests performed,,,,,,,,,,,,89.81,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-04,2179.0,140.0,139.429,29.0,4.0,3.571,61.657,3.961,3.945,0.821,0.113,0.101,1.68,,,,,,,,,7779.0,147185.0,4.165,0.22,7340.0,0.208,0.019,52.6,tests performed,,,,,,,,,,,,89.81,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-05,2402.0,223.0,157.571,34.0,5.0,3.714,67.967,6.31,4.459,0.962,0.141,0.105,1.67,,,,,,,,,6778.0,153963.0,4.357,0.192,7413.0,0.21,0.021,47.0,tests performed,,,,,,,,,,,,89.81,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-06,2605.0,203.0,164.571,38.0,4.0,4.2860000000000005,73.711,5.744,4.657,1.075,0.113,0.121,1.67,,,,,,,,,6832.0,160795.0,4.55,0.193,7405.0,0.21,0.022,45.0,tests performed,,,,,,,,,,,,91.67,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-07,2795.0,190.0,176.0,41.0,3.0,4.4289999999999985,79.087,5.376,4.98,1.16,0.085,0.125,1.66,,,,,,,,,6384.0,167179.0,4.73,0.181,7265.0,0.206,0.024,41.3,tests performed,,,,,,,,,,,,91.67,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-08,2932.0,137.0,173.143,41.0,0.0,3.571,82.964,3.877,4.899,1.16,0.0,0.101,1.66,,,,,,,,,6387.0,173566.0,4.9110000000000005,0.181,7123.0,0.202,0.024,41.1,tests performed,,,,,,,,,,,,91.67,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-09,3287.0,355.0,200.286,44.0,3.0,3.286,93.009,10.045,5.667000000000002,1.245,0.085,0.093,1.66,,,,,,,,,6819.0,180385.0,5.104,0.193,6999.0,0.198,0.029,34.9,tests performed,,,,,,,,,,,,91.67,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
SAU,Asia,Saudi Arabia,2020-04-10,3651.0,364.0,230.286,47.0,3.0,3.143,103.309,10.3,6.516,1.33,0.085,0.08900000000000001,1.66,,,,,,,,,7441.0,187826.0,5.315,0.211,6917.0,0.196,0.033,30.0,tests performed,,,,,,,,,,,,91.67,35340680.0,15.322,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,,,
